epoch,train_loss,val_loss,val_accuracy
1,2.6458,2.3250,0.5775
2,1.8532,1.4083,0.7519
3,1.4178,1.0003,0.8605
4,1.0874,0.7270,0.8992
5,0.8822,0.5231,0.9380
6,0.7167,0.3848,0.9574
7,0.5881,0.2887,0.9651
8,0.4978,0.2185,0.9690
9,0.4282,0.1711,0.9767
10,0.3662,0.1384,0.9729
11,0.3354,0.1065,0.9806
12,0.2820,0.0896,0.9884
13,0.2579,0.0732,0.9922
14,0.2483,0.0602,0.9961
15,0.2210,0.0495,0.9961
16,0.2028,0.0445,0.9961
17,0.1907,0.0386,0.9922
18,0.1626,0.0327,1.0000
19,0.1570,0.0285,1.0000
20,0.1463,0.0251,1.0000
21,0.1352,0.0204,1.0000
22,0.1365,0.0191,0.9961
23,0.1271,0.0316,0.9884
24,0.1255,0.0233,0.9922
25,0.1239,0.0236,0.9922
26,0.1155,0.0150,1.0000
27,0.0915,0.0107,1.0000
28,0.0924,0.0138,1.0000
29,0.0984,0.0212,0.9922
30,0.0988,0.0100,1.0000
31,0.0849,0.0107,1.0000
32,0.0718,0.0106,0.9961
33,0.0794,0.0131,0.9922
34,0.0782,0.0081,1.0000
35,0.0811,0.0150,0.9961
36,0.0708,0.0088,1.0000
37,0.0609,0.0069,1.0000
38,0.0700,0.0082,1.0000
39,0.0742,0.0117,0.9961
40,0.0782,0.0081,1.0000
41,0.0822,0.0171,0.9884
42,0.0609,0.0112,0.9961
43,0.0598,0.0072,1.0000
44,0.0680,0.0074,1.0000
45,0.0523,0.0076,0.9961
46,0.0628,0.0076,1.0000
47,0.0612,0.0086,1.0000
